job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,benefits_score,company_name,year
AI00001,AI Research Scientist,90376,SE,CT,China,M,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,5.9,Smart Analytics,2024
AI00002,AI Software Engineer,61895,EN,CT,Canada,M,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,5.2,TechCorp Inc,2024
AI00003,AI Specialist,152626,MI,FL,Switzerland,L,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,9.4,Autonomous Tech,2025
AI00004,NLP Engineer,80215,SE,FL,India,M,India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,8.6,Future Systems,2024
AI00005,AI Consultant,54624,EN,PT,France,S,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,6.6,Advanced Robotics,2025
AI00006,AI Architect,123574,SE,CT,Germany,M,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,5.9,Neural Networks Co,2024
AI00007,Principal Data Scientist,79670,MI,FL,United Kingdom,S,United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,6.3,DataVision Ltd,2024
AI00008,NLP Engineer,70640,EN,FL,France,L,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,7.6,Cloud AI Solutions,2024
AI00010,AI Software Engineer,102557,SE,PT,Austria,M,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,5.8,Cloud AI Solutions,2024
AI00012,AI Architect,115047,EX,CT,South Korea,S,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,6.8,TechCorp Inc,2024
AI00013,AI Consultant,124355,SE,CT,France,M,France,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,5.2,Predictive Systems,2024
AI00015,AI Research Scientist,150122,SE,FT,Sweden,M,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,9.8,Advanced Robotics,2024
